"gene","chr","strand","upstreamES","upstreamEE","downstreamES","downstreamEE","timepoint","compartment","version","replicate","count"
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","nuc","inclusion","r1",2.26407618616366
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","nuc","inclusion","r2",1.76516274800537
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","nuc","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","nuc","skipping","r2",0.353032549601073
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","cyt","inclusion","r1",3.71068987909335
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","cyt","inclusion","r2",2.04858062628036
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","cyt","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_0","cyt","skipping","r2",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","nuc","inclusion","r1",1.62671359488916
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","nuc","inclusion","r2",1.14361955589441
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","nuc","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","nuc","skipping","r2",1.14361955589441
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","cyt","inclusion","r1",0.569492297616675
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","cyt","inclusion","r2",1.39421401185082
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","cyt","skipping","r1",0.569492297616675
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t0_5","cyt","skipping","r2",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","nuc","inclusion","r1",0.502805655558014
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","nuc","inclusion","r2",0.616112576089903
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","nuc","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","nuc","skipping","r2",0.492890060871922
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","cyt","inclusion","r1",1.06762325710503
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","cyt","inclusion","r2",0.769546480607429
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","cyt","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t1_5","cyt","skipping","r2",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","nuc","inclusion","r1",0.0764818355640535
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","nuc","inclusion","r2",0.254935119012211
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","nuc","skipping","r1",0.305927342256214
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","nuc","skipping","r2",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","cyt","inclusion","r1",0.451009132934942
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","cyt","inclusion","r2",0.257459900620478
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","cyt","skipping","r1",0.451009132934942
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t3_0","cyt","skipping","r2",0.514919801240957
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","nuc","inclusion","r1",0.274689429264038
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","nuc","inclusion","r2",0.369461768096237
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","nuc","skipping","r1",0
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","nuc","skipping","r2",0.147784707238495
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","cyt","inclusion","r1",1.58138484129674
"FBgn0025936","chr4","+",611285,611438,611513,611655,"t5_0","cyt","inclusion","r2",0.695168578380257
