dataset_final	gene_final	event_final	p_final	q_final	sigma_c_final	IR_final	q_source_complete	q_recomputed
mESC	Gas5	ENSMUSG00000053332.16:chr1:+:160864390:160864422:160865565:160865607	5e-05	0.012325	0.0216372343299575	0.478006009552369	TRUE	0.012325
mESC	Nsd1	ENSMUSG00000021488.9:chr13:+:55361017:55361130:55361874:55361963	5e-05	0.012325	0.0474246664257903	0.3810515261106	TRUE	0.012325
mESC	Snhg15	ENSMUSG00000085156.11:chr11:-:6478306:6478374:6478548:6478750	5e-05	0.012325	0.0238477197954723	0.321105361252832	TRUE	0.012325
mESC	Srsf5	ENSMUSG00000021134.18:chr12:+:80994570:80994639:80995869:80995942	5e-05	0.012325	0.0533697052142269	0.157631862126278	TRUE	0.012325
mESC	Zfas1	ENSMUSG00000074578.17:chr2:+:166905556:166905647:166907354:166907400	5e-05	0.012325	0.047351810651722	0.0701913191656317	TRUE	0.012325
mESC	5430416N02Rik	ENSMUSG00000097772.10:chr5:-:100574595:100574663:100576956:100577097	5e-05	0.012325	0.0141639555637975	0.0326950495074561	TRUE	0.012325
mESC	N4bp1	ENSMUSG00000031652.12:chr8:-:87573443:87573550:87575075:87575182	5e-05	0.012325	0.157253463267082	0.0249478593994106	TRUE	0.012325
mESC	Snhg12	ENSMUSG00000086290.12:chr4:+:132035987:132036932:132037149:132037214	5e-05	0.012325	0.00852620572411945	0.0149115632038213	TRUE	0.012325
mESC	Ppp1r36dn	ENSMUSG00000073000.5:chr12:+:76494749:76494927:76496485:76497292	1e-04	0.01972	0.0189922953788624	0.535081812051301	TRUE	0.01972
mESC	Snhg12	ENSMUSG00000086290.12:chr4:+:132035987:132036218:132037149:132037214	1e-04	0.01972	0.0475919371678103	0.00676316836573933	TRUE	0.01972
mESC	Mis18bp1	ENSMUSG00000047534.18:chr12:-:65199462:65199604:65200580:65200667	0.00015	0.02465	0.206783879618991	0.405975839410094	TRUE	0.02465
mESC	Mettl25b	ENSMUSG00000004896.17:chr3:-:87834870:87835022:87835231:87835355	0.00015	0.02465	0.0153612008095351	0.193260510451714	TRUE	0.02465
mESC	Hnrnpm	ENSMUSG00000059208.16:chr17:-:33885468:33885503:33885621:33885659	2e-04	0.0303384615384615	0.00174948967729915	0.128694957382139	TRUE	0.0303384615384615
mESC	Mrps17	ENSMUSG00000034211.15:chr5:+:129792748:129792974:129793791:129793930	0.00025	0.0352142857142857	0.0641374565426861	0.166541580766644	TRUE	0.0352142857142857
